Source	Convert
CCTV1综合	CCTV1
CCTV2财经	CCTV2
CCTV3综艺	CCTV3
CCTV4中文国际	CCTV4
CCTV5体育	CCTV5
CCTV6电影	CCTV6
CCTV7国防军事	CCTV7
CCTV8电视剧	CCTV8
CCTV9纪录	CCTV9
CCTV10科教	CCTV10
CCTV11戏曲	CCTV11
CCTV12社会与法	CCTV12
CCTV13新闻	CCTV13
CCTV14少儿	CCTV14
CCTV15音乐	CCTV15
CCTV16奥利匹克	CCTV16
CCTV17农业农村	CCTV17
CCTV5+体育赛事	CCTV5+
CCTV5体育	CCTV5
CCTV16奥林匹克	CCTV16
CCTV5+体育赛事	CCTV5+
TVB Plus	TVB Plus
NOW星影台	Now爆谷星影台
NOW爆谷台	Now 爆谷台
美亚电影台	美亞電影HD
天映经典	天映經典頻道
中视	中視
中视新闻	中視新聞
中视经典	中視經典台HD
中视菁采	中視菁采台HD
台视	台視
台视新闻	台視新聞台
台视综合	台視綜合台
台视财经	台視財經台
华视	華視
华视新闻资讯	華視新聞
华视教育体育文化	華視教育體育文化台
民视	民視
民视新闻台	民視新聞台
民视台湾台	民視台灣台
民视第一台	民視第一台
公视	公視(HD)
公视台语台	公視台語台
小公视	小公視
